recpname,eqptype,eqpid
33RF1,3REFLOW,3REFLOW1
36RF1,3REFLOW,3REFLOW1
3AGC1,3XRAY,3XFS-02
3AGC1,3XRAY,3XFS-06
3AGC1,3XRAY,5XFS-05
3AGC1,3XRAY,3XFS-02
3AGC1,3XRAY,3XFS-06
3AGC1,3XRAY,5XFS-05
3AGC1,3XRAY,3XFS-02
3AGC1,3XRAY,3XFS-06
3AGC1,3XRAY,5XFS-05
3AGC2,3XRAY,3XFS-02
3AGC2,3XRAY,3XFS-06
3AGC2,3XRAY,5XFS-05
3AH01,3PSTTST,3POSTTST
3AH01,3PSTTST,3FFAC1
3AH01,3PSTTST,3MUST1
3AH01,3PSTTST,3MUST2
3AOI1,3AOI,3AOI-01
3AOI1,3AOI,3AOI-02
3AOI1,3AOI,3AOI-04
3AOI1,3AOI,3AOI-05
3AOI1,3AOI,3AOI-09
3AOI1,3AOI,3AOI-13
3AOI1,3AOI,5AOI-06
3AOI1,3AOI,5AOI-07
3AOI1,3AOI,5AOI-10
3AOI1,3AOI,5AOI-11
3AOI1,3AOI,5AOI-12
3AOI2,3AOI,3AOI-01
3AOI2,3AOI,3AOI-02
3AOI2,3AOI,3AOI-04
3AOI2,3AOI,3AOI-05
3AOI2,3AOI,3AOI-09
3AOI2,3AOI,3AOI-13
3AOI2,3AOI,5AOI-06
3AOI2,3AOI,5AOI-07
3AOI2,3AOI,5AOI-10
3AOI2,3AOI,5AOI-11
3AOI2,3AOI,5AOI-12
3AOI2,3AOI,3AOI-01
3AOI2,3AOI,3AOI-02
3AOI2,3AOI,3AOI-04
3AOI2,3AOI,3AOI-05
3AOI2,3AOI,3AOI-09
3AOI2,3AOI,3AOI-13
3AOI2,3AOI,5AOI-06
3AOI2,3AOI,5AOI-07
3AOI2,3AOI,5AOI-10
3AOI2,3AOI,5AOI-11
3AOI2,3AOI,5AOI-12
3AOI2,3AOI,3AOI-01
3AOI2,3AOI,3AOI-02
3AOI2,3AOI,3AOI-04
3AOI2,3AOI,3AOI-05
3AOI2,3AOI,3AOI-09
3AOI2,3AOI,3AOI-13
3AOI2,3AOI,5AOI-06
3AOI2,3AOI,5AOI-07
3AOI2,3AOI,5AOI-10
3AOI2,3AOI,5AOI-11
3AOI2,3AOI,5AOI-12
3AOI2,3AOI,3AOI-01
3AOI2,3AOI,3AOI-02
3AOI2,3AOI,3AOI-04
3AOI2,3AOI,3AOI-05
3AOI2,3AOI,3AOI-09
3AOI2,3AOI,3AOI-13
3AOI2,3AOI,5AOI-06
3AOI2,3AOI,5AOI-07
3AOI2,3AOI,5AOI-10
3AOI2,3AOI,5AOI-11
3AOI2,3AOI,5AOI-12
3AOI2,3AOI,3AOI-01
3AOI2,3AOI,3AOI-02
3AOI2,3AOI,3AOI-04
3AOI2,3AOI,3AOI-05
3AOI2,3AOI,3AOI-09
3AOI2,3AOI,3AOI-13
3AOI2,3AOI,5AOI-06
3AOI2,3AOI,5AOI-07
3AOI2,3AOI,5AOI-10
3AOI2,3AOI,5AOI-11
3AOI2,3AOI,5AOI-12
3AOI3,3AOI,3AOI-01
3AOI3,3AOI,3AOI-02
3AOI3,3AOI,3AOI-04
3AOI3,3AOI,3AOI-05
3AOI3,3AOI,3AOI-09
