recpname,recpversion,mean,active_lower_bound,active_upper_bound
33RF1,.03,32,14,88
36RF1,.03,140,14,295
3AGC1,.07,1701,630,3586
3AH01,.02,0,0,0
3AOI1,.02,1463,2,4509
3AOI2,.09,4780,302,11721
3AOI3,.06,7942,0,27437
3AOI4,.07,7646,433,21922
3AOI6,.10,7492,202,16461
3AOIA,.03,0,0,0
3AOIB,.03,1265,0,5164
3AOIC,.03,738,0,4680
3AOIE,.02,4784,0,11369
3AOIF,.01,0,0,3
3AOIG,.01,0,0,0
3AOIH,.02,14240,42,48462
3AOIJ,.01,0,0,0
3AT02,.03,0,0,0
3BGC1,.01,3315,1035,4641
3BGD1,.01,3784,1580,5613
3BGD2,.01,820,605,1034
3BIN3,.02,0,0,3
3BIN4,.01,0,0,4
3BTL1,.03,1500,189,2845
3BTL3,.01,5,3,8
3CDV1,.01,1853,943,3158
3CEX1,.03,669,446,891
3CMA1,.09,0,0,0
3CMA2,.04,209,95,356
3CMB1,.02,0,0,0
3CMB2,.01,171,5,358
3CSP3,.01,4697,1911,7649
3CSV1,.02,136,67,317
3CUP1,.02,4598,1459,7907
3CWI1,.05,1246,786,1455
3CWP2,.05,4184,21,15526
3DELT,.01,58,24,104
3DES1,.01,27882,3,92795
3DES2,.01,5350,3,17959
3DEV1,.01,6,0,17
3DEV2,.01,21,0,94
3DTL1,.02,2505,307,4972
3DTL2,.05,1371,69,3691
3DTL3,.04,1044,39,2460
3DTP1,.02,228,3,889
3DTP2,.01,211,2,1059
3DWT1,.02,2705,317,7631
3ET91,.03,4333,617,8435
3ETG1,.04,6133,2126,10139
3ETV1,.01,572,128,1708
3EXP1,.06,4236,805,10197
3FCD1,.03,22122,3600,41250
3FLP1,.01,0,0,0
3FLP2,.02,0,0,0
3HAS1,.04,35,15,56
3IRI1,.05,4822,335,10842
3IRI2,.13,4869,688,19321
3IRI3,.06,3433,404,7314
3IRI4,.06,1470,339,3210
3IRI5,.01,748,2,2289
3IRI6,.02,673,0,2416
3KCB2,.02,14,0,30
3KE01,.01,0,0,0
3KG01,.01,0,0,0
3KOB2,.01,17,9,32
3KOBW,.01,2,0,19
3KP01,.04,642,144,1495
3KP02,.01,0,0,0
3KP0W,.01,341,15,1009
3KR01,.08,1573,0,4926
3LMK1,.04,5691,683,12396
3LMU1,.02,551,551,551
3LMU2,.03,214,0,910
3LMU3,.03,311,122,784
3MAP1,.02,0,0,0
3MAP2,.01,0,0,0
3MOV3,.05,0,0,0
3MOV4,.01,0,0,0
3MOV7,.01,0,0,0
3MOVA,.02,0,0,0
3MOVB,.02,0,0,0
3MOVC,.01,18,7,48
3MOVE,.02,0,0,0
3MOVG,.01,2,0,6
3MVCC,.02,10751,0,21547
3OC01,.02,0,0,0
3OC02,.02,135,0,523
3OC03,.02,113,0,398
3OC04,.02,0,0,0
3OC05,.02,25,0,160
3OC06,.02,23,0,152
3OC07,.02,25,0,159
3ORT1,.01,18,0,61
3ORV1,.01,7,0,14
3ORV2,.01,17,0,73
3ORV3,.01,3,0,17
3PGD1,.01,3895,2328,5216
3PGW6,.04,0,0,0
3PGW7,.04,701,429,1202
3PIN1,.06,0,0,0
3PIN2,.04,1891,207,5385
3PIN3,.05,1247,156,3312
3PIN4,.08,1636,205,3591
3PIN5,.02,0,0,0
3PIN6,.02,282,123,745
3PSP1,.07,422,0,1010
3PST1,.02,81655,0,408202
3PSV1,.01,11,0,30
3PSV2,.01,0,0,0
3PSV3,.01,42,16,92
3PWP1,.05,3917,1088,6745
3RFD1,.01,3,0,6
3RRM1,.03,2154,893,3410
3RRM2,.03,4765,2143,7716
3RRM3,.03,6530,3938,11456
3RRM4,.01,1411,2,3430
3RTM1,.07,1251,745,2986
3RTM2,.08,1019,397,2827
3RTM3,.07,1075,428,2859
3SAT1,.05,0,0,0
3SAT2,.04,4372,2407,6336
3SC01,.05,757,147,1366
3SC02,.05,516,157,1004
3SC04,.01,0,0,0
3SLE1,.04,2166,1382,2949
3SLE2,.04,2330,1710,2993
3SMD1,.03,2906,1773,4758
3SMD2,.02,3563,470,5938
3SMD3,.02,3503,465,5857
3SMI1,.05,798,139,2456
3SNP1,.02,3122,856,5387
