recpid,recpname,recpversion,count,mean,mode,lower_bound,upper_bound
33RF1.03,33RF1,.03,5,32.0,14,14,88
36RF1.03,36RF1,.03,6,140.66666666666666,14,14,295
3AGC1.04,3AGC1,.04,5051,1469.3058800237577,935,602,2787
3AGC1.05,3AGC1,.05,291,1685.5292096219932,809,124,3247
3AGC1.06,3AGC1,.06,734,1864.1389645776567,1197,665,3506
3AGC1.07,3AGC1,.07,7883,1688.3521501966256,1016,651,3498
3AH01.02,3AH01,.02,3,0.0,0,0,0
3AOI1.02,3AOI1,.02,11072,1492.2962427745665,3,2,4558
3AOI2.07,3AOI2,.07,3874,4613.007743933918,2644,2330,8115
3AOI2.08,3AOI2,.08,4,4616.75,0,0,18467
3AOI2.09,3AOI2,.09,8711,4714.38870393755,3141,296,11308
3AOI3.05,3AOI3,.05,4408,2818.7463702359346,0,0,13111
3AOI3.06,3AOI3,.06,12057,7615.109645848885,0,0,25923
3AOI4.06,3AOI4,.06,3966,8303.019415027737,2733,1417,22793
3AOI4.07,3AOI4,.07,11691,7466.643315370798,2474,433,20981
3AOI6.06,3AOI6,.06,1534,5878.617340286832,2964,372,14361
3AOI6.07,3AOI6,.07,335,9225.716417910447,3129,1934,27652
3AOI6.08,3AOI6,.08,89,9020.426966292134,4807,2856,27818
3AOI6.09,3AOI6,.09,1421,7236.336382828994,5386,2555,15542
3AOI6.10,3AOI6,.10,7938,7492.887251196775,5687,202,16461
3AOIA.03,3AOIA,.03,4340,0.0,0,0,0
3AOIB.02,3AOIB,.02,5128,100.6443057722309,0,0,941
3AOIB.03,3AOIB,.03,9161,1211.1679947603973,0,0,4968
3AOIC.01,3AOIC,.01,4557,933.7640991880623,0,0,4697
3AOIC.02,3AOIC,.02,2878,1322.2109103544128,0,0,5895
3AOIC.03,3AOIC,.03,5759,719.6719916652197,0,0,4483
3AOIE.01,3AOIE,.01,2408,639.8430232558139,0,0,3075
3AOIE.02,3AOIE,.02,4283,4699.0588372636,0,0,10932
3AOIF.01,3AOIF,.01,232,0.646551724137931,0,0,9
3AOIG.01,3AOIG,.01,1562,0.0,0,0,0
3AOIH.02,3AOIH,.02,67,12050.477611940298,0,0,44682
3AT02.01,3AT02,.01,76792,0.0,0,0,0
3AT02.03,3AT02,.03,23230,0.0,0,0,0
3BGC1.01,3BGC1,.01,14183,3351.0520341253614,4557,1045,4630
3BGD1.01,3BGD1,.01,12327,3807.8172304697005,4229,1645,5645
3BGD2.01,3BGD2,.01,1085,822.7824884792627,865,615,1030
3BIN3.02,3BIN3,.02,14132,0.1726577979054628,0,0,2
3BIN4.01,3BIN4,.01,372,0.7849462365591398,0,0,5
3BTL1.02,3BTL1,.02,1403,2077.8382038488953,1861,640,3515
3BTL1.03,3BTL1,.03,12262,1519.5452617843746,1764,189,2855
3BTL3.01,3BTL3,.01,10,5.0,5,3,8
3CDV1.01,3CDV1,.01,10915,1848.9851580393954,1282,1027,3142
3CEX1.02,3CEX1,.02,4349,618.8351345136813,580,465,772
3CEX1.03,3CEX1,.03,6554,666.8767165090021,628,463,870
3CMA1.06,3CMA1,.06,5197,0.0,0,0,0
3CMA1.07,3CMA1,.07,8,0.0,0,0,0
3CMA1.08,3CMA1,.08,7889,0.0,0,0,0
