eqpid,description,locationid,status,eqptype,isparent,ischild,parenteqpid,batchidprefix
3RR11TK1,3RR11 Tank 1,S3ETCH,AVAIL,3LRESRM,0,-1,3RR-11,3RR11TK1
3RR11TK2,3RR11 Tank 2,S3ETCH,AVAIL,3LRESRM,0,-1,3RR-11,3RR11TK2
3SDV12C1,3SDV12 Cup1,S3PHOTO,AVAIL,3PRESDVM,0,-1,3SDV-12,3SDV12C1
3SDV12C2,3SDV12 Cup2,S3PHOTO,AVAIL,3PRESDVM,0,-1,3SDV-12,3SDV12C2
3SRC08C1,3SRC08 Cup1,S3PHOTO,AVAIL,3SPINCTM,0,-1,3SRC-08,3SRC08C1
3SRC08C2,3SRC08 Cup2,S3PHOTO,AVAIL,3SPINCTM,0,-1,3SRC-08,3SRC08C2
1SRC03C1,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,1SRC-03,1SRC03C1
1SRC03C2,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,1SRC-03,1SRC03C2
1SRC03C3,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,1SRC-03,1SRC03C3
1SRC03C4,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,1SRC-03,1SRC03C4
3CP-01P1,3CP01 LP1,S3PHOTO,AVAIL,3PEXPSEM,0,-1,3CP-01,3CP-01P1
3CP-01P2,3CP01 LP2,S3PHOTO,AVAIL,3PEXPSEM,0,-1,3CP-01,3CP-01P2
3DE-03P2,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,3DE-03,3DE-03P2
3DE-03P3,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,3DE-03,3DE-03P3
3DE-03P4,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,3DE-03,3DE-03P4
3DE-05P2,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,3DE-05,3DE-05P2
3DE-05P3,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,3DE-05,3DE-05P3
3DE-05P4,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,3DE-05,3DE-05P4
3DE05SP6,3DE05 synapse chamb,S3DRYETCH,AVAIL,3DRYTCHM,0,-1,3DE-05,3DE05SP6
3WB01CH1,3WB01 Chamb 1,S3BOND,AVAIL,3WBM,0,-1,3WB-01,3WB01CH1
3WB01CH3,3WB01 Chamb 3,S3BOND,NOWIP,3WBM,0,-1,3WB-01,3WB01CH3
4SRC03C1,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,4SRC-03,4SRC03C1
4SRC03C2,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,4SRC-03,4SRC03C1
4SRC03C3,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,4SRC-03,4SRC03C3
4SRC03C4,SUSS Spin Coating,SPHOTO,AVAIL,SPSPINCT,0,-1,4SRC-03,4SRC03C4
5CP-02P1,5CP02 LP1,S3PHOTO,AVAIL,3PEXPSEM,0,-1,5CP-02,5CP-02P1
5CP-02P2,5CP02 LP2,S3PHOTO,AVAIL,3PEXPSEM,0,-1,5CP-02,5CP-02P2
5DE-04P2,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,5DE-04,5DE-04P2
5DE-04P3,Dry Etching,S3DRYETCH,AVAIL,3DRYETCH,0,-1,5DE-04,5DE-04P3
5DE-04P6,Dry Etching,S3DRYETCH,NOWIP,3DRYETCH,0,-1,5DE-04,5DE-04P6
