location_a,location_b,count,mean,lower_bound,upper_bound
S3PHOTO,S3PLATE,62006,4216.366480663161,6,7199
S3BOND,S3PLATE,20140,4235.832820258192,5,7199
SGRIND,SDICING,2021,4240.790697674419,2,7199
S3GRIND,S3SOLDER,41204,2428.852004659742,3,7199
SPACK,STEST,2081,1500.7976934166265,8,7193
S3BOND,S3PHOTO,7027,4279.762487548029,15,7199
S3TEST,S3PHOTO,870,1557.3758620689655,1,7193
S3GRIND,S3TEST,1208,2422.7665562913908,12,7191
STEST,SDICING,35,2984.3714285714286,26,4913
S3BOND,S3DRYETCH,16,5972.25,3931,7188
SPHOTO,SPACK,2,800.0,640,960
STEST,SPHOTO,36,4211.75,13,6554
S3GRIND,S3DRYETCH,7,5079.428571428572,138,7050
S3SPUT,S3SOLDER,7,4609.142857142857,32,6016
S3PHOTO,S3SPUT,13545,3847.6130675526024,4,7199
S3SOLDER,S3GRIND,14821,3354.8289589096553,7,7199
S3PHOTO,S3SOLDER,3354,3829.5244484197974,14,7196
S3GRIND,S3PLATE,39642,3464.681448968266,5,7199
S3DRYETCH,S3PHOTO,8343,1799.5181589356346,3,7195
S3PLATE,S3BOND,16432,2579.3184031158717,31,7198
S3TEST,S3PLATE,5083,3209.3574660633485,1,7195
S3TEST,S3GRIND,13570,3860.1288872512896,3,7198
S3ETCH,S3TEST,1159,1841.1786022433132,8,7177
S3TEST,SPACK,242,4358.661157024793,15,7073
SPACK,SGRIND,1,229.0,229,229
S3ETCH,S3DRYETCH,1,5835.0,5835,5835
S3PLATE,S3PHOTO,141182,3821.7299230780127,3,7199
S3PHOTO,S3BOND,23164,2719.1877050595754,5,7199
S3PACK,S3PLATE,61,1672.7868852459017,9,4921
SPACK,S3TEST,292,2185.7979452054797,14,7076
SPHOTO,S3SOLDER,129,3296.9922480620153,1,7081
S3TEST,SGRIND,4,138.5,87,166
SDICING,SPHOTO,4,1860.75,11,4323
SDICING,S3SOLDER,3,358.3333333333333,276,508
STEST,SGRIND,18,2762.1111111111113,111,6039
S3BOND,S3PACK,21,1706.7619047619048,15,4266
STEST,SPACK,471241,3902.5047459792336,1,7199
S3SPUT,S3PLATE,27095,3470.3543827274407,1,7199
S3SPUT,S3PHOTO,46894,2874.9783554399282,1,7199
S3PLATE,S3SPUT,13269,4003.5745723114023,10,7199
S3PHOTO,S3PACK,746,569.1367292225201,1,7189
S3PLATE,S3TEST,9173,3434.648097677968,1,7199
S3GRIND,S3SPUT,10,4292.8,235,7074
S3SPUT,S3GRIND,16,1795.4375,2,6178
S3SPUT,S3DRYETCH,2,4087.0,2763,5411
S3TEST,S3DRYETCH,9,1867.0,488,3694
S3PACK,S3PHOTO,1,3292.0,3292,3292
S3SOLDER,S3PLATE,22075,1800.325073612684,1,7199
S3TEST,S3PACK,156006,3464.092816942938,1,7199
S3PLATE,S3ETCH,59334,2837.805575218256,5,7199
S3DRYETCH,S3PLATE,3746,3412.177789642285,9,7194
SPACK,S3PACK,58382,3577.6683224281455,1,7199
SPHOTO,STEST,21,1792.904761904762,15,6786
S3BOND,S3TEST,4,5871.0,4632,6915
SGRIND,SPACK,52,3297.346153846154,1958,5546
S3TEST,SDICING,1,359.0,359,359
S3SOLDER,SDICING,2,1282.5,1188,1377
SPACK,SDICING,3,33.333333333333336,14,43
S3GRIND,S3PACK,84,2204.8928571428573,9,4466
SDICING,STEST,6879,4652.67669719436,7,7199
S3ETCH,S3PHOTO,37178,3767.224917962236,9,7199
S3GRIND,S3PHOTO,19392,4228.455239273927,4,7199
S3BOND,S3GRIND,19383,4207.973378733942,10,7199
S3ETCH,S3BOND,4269,4541.188568751464,147,7199
S3SOLDER,S3ETCH,4981,4122.3071672354945,132,7199
S3PLATE,S3PACK,1856,1946.2952586206898,1,7191
S3SOLDER,S3TEST,6156,666.7626705653022,5,7199
S3PACK,S3TEST,2373,2800.637589549094,1,7190
S3PLATE,S3DRYETCH,258,5101.162790697675,26,7197
S3ETCH,S3GRIND,75,6128.213333333333,3570,7189
S3TEST,S3ETCH,46,4457.804347826087,2046,6669
STEST,S3PACK,13,2620.3846153846152,42,6256
S3SOLDER,SPHOTO,175,1607.2057142857143,1,4370
S3BOND,S3ETCH,8,5493.75,1245,7123
S3DRYETCH,S3TEST,6,2317.1666666666665,1685,2883
S3ETCH,S3PLATE,63712,2800.3322451029635,8,7198
S3SOLDER,S3PHOTO,15601,1477.6584834305493,5,7199
S3GRIND,S3BOND,22878,2175.776029373197,18,7199
S3PHOTO,S3GRIND,7070,4896.114002828855,20,7199
S3DRYETCH,S3ETCH,3362,4170.119274241523,15,7199
S3PHOTO,S3DRYETCH,9857,3707.550471745967,19,7199
S3PHOTO,S3TEST,9239,3514.9634159541074,1,7196
S3ETCH,S3SOLDER,868,5314.797235023041,188,7192
S3TEST,S3SOLDER,446,4970.540358744394,9,7199
SPHOTO,SGRIND,4723,3604.7275037052723,1,7199
S3SPUT,S3ETCH,1099,4495.041856232939,11,7196
S3PACK,SPACK,98,1892.5714285714287,19,6942
S3BOND,S3SPUT,19,3217.0526315789475,594,6504
S3DRYETCH,S3SPUT,886,2211.441309255079,18,7178
S3GRIND,S3ETCH,42,5013.738095238095,101,7196
S3SOLDER,S3DRYETCH,10,3874.0,34,7119
SPHOTO,SDICING,31,3247.2258064516127,9,7034
S3TEST,S3SPUT,237,2142.759493670886,50,7190
S3PACK,S3SOLDER,1,183.0,183,183
SPACK,SPHOTO,5,340.6,23,1414
SGRIND,STEST,7,2211.8571428571427,90,5740
S3PACK,S3BOND,15,2258.866666666667,45,4105
S3PLATE,SPHOTO,79,3801.1139240506327,2,6334
S3PLATE,S3GRIND,88770,2814.0980962036724,3,7199
S3PLATE,S3SOLDER,35437,2146.2027259643874,5,7199
SGRIND,SPHOTO,20358,4281.675410158169,1,7199
S3SOLDER,S3SPUT,7849,3932.264237482482,8,7199
S3PHOTO,S3ETCH,5476,3527.984477720964,5,7199
S3ETCH,S3PACK,411,1913.2360097323601,7,7179
S3ETCH,S3SPUT,1890,4819.222222222223,17,7194
S3SOLDER,S3PACK,69,1194.3623188405797,23,5591
S3TEST,S3BOND,7,5498.857142857143,2633,6922
S3SOLDER,S3BOND,14,2465.0,22,7180
SDICING,SPACK,53,1375.698113207547,43,5055
SDICING,SGRIND,3,3033.6666666666665,3017,3047
S3SPUT,S3TEST,331,2071.226586102719,9,7155
S3PACK,S3GRIND,70,1741.2571428571428,40,4218
SPHOTO,S3PLATE,50,2497.86,8,7122
